coupon_id,item_id,brand,brand_type,category
105,37,56,Local,Grocery
107,75,56,Local,Grocery
494,76,209,Established,Grocery
522,77,278,Established,Grocery
518,77,278,Established,Grocery
520,77,278,Established,Grocery
529,77,278,Established,Grocery
524,77,278,Established,Grocery
522,81,278,Established,Grocery
518,81,278,Established,Grocery
520,81,278,Established,Grocery
529,81,278,Established,Grocery
524,81,278,Established,Grocery
378,90,56,Local,Grocery
596,98,487,Established,Grocery
104,101,56,Local,Grocery
596,105,487,Established,Grocery
494,111,209,Established,Grocery
468,113,172,Established,Grocery
651,125,634,Established,Grocery
650,125,634,Established,Grocery
468,134,172,Established,Grocery
415,137,89,Established,Grocery
492,142,209,Established,Grocery
312,149,56,Local,Grocery
596,154,487,Established,Grocery
651,158,634,Established,Grocery
650,158,634,Established,Grocery
312,165,56,Local,Grocery
492,169,209,Established,Grocery
671,171,676,Established,Grocery
596,176,487,Established,Grocery
106,182,56,Local,Bakery
596,188,487,Established,Grocery
845,192,1016,Established,Grocery
932,194,1143,Established,Grocery
932,195,1143,Established,Grocery
522,199,278,Established,Grocery
524,199,278,Established,Grocery
520,199,278,Established,Grocery
518,199,278,Established,Grocery
529,199,278,Established,Grocery
720,204,782,Established,Grocery
718,204,782,Established,Grocery
44,209,867,Established,Grocery
932,213,1143,Established,Grocery
976,216,1308,Established,Grocery
975,216,1308,Established,Grocery
492,223,209,Established,Grocery
522,226,278,Established,Grocery
518,226,278,Established,Grocery
524,226,278,Established,Grocery
520,226,278,Established,Grocery
529,226,278,Established,Grocery
549,236,328,Established,Skin & Hair Care
596,248,487,Established,Grocery
43,251,56,Local,Grocery
42,251,56,Local,Grocery
468,255,172,Established,Grocery
522,264,971,Established,Grocery
801,264,971,Established,Grocery
907,268,1124,Established,Grocery
799,280,971,Established,Grocery
800,280,971,Established,Grocery
18,280,971,Established,Grocery
932,283,1143,Established,Grocery
907,289,1124,Established,Grocery
1069,291,1996,Established,Grocery
932,300,1143,Established,Grocery
522,326,971,Established,Grocery
801,326,971,Established,Grocery
315,339,56,Local,Grocery
1069,340,1996,Established,Grocery
705,369,714,Established,Grocery
932,370,1143,Established,Grocery
37,385,4467,Established,Pharmaceutical
241,386,56,Local,Grocery
37,395,4467,Established,Pharmaceutical
37,400,4467,Established,Pharmaceutical
878,405,1088,Established,Grocery
37,416,4467,Established,Pharmaceutical
643,419,611,Established,Grocery
37,431,4467,Established,Pharmaceutical
107,459,56,Local,Grocery
37,482,4467,Established,Pharmaceutical
37,483,1262,Established,Pharmaceutical
38,512,574,Established,Grocery
107,521,56,Local,Grocery
1063,530,1953,Established,Grocery
1062,530,1953,Established,Grocery
241,570,56,Local,Grocery
1063,575,1953,Established,Grocery
1062,575,1953,Established,Grocery
1109,580,2320,Established,Grocery
1069,582,1996,Established,Grocery
1069,586,1996,Established,Grocery
534,587,278,Established,Grocery
705,594,714,Established,Grocery
822,598,57,Established,Grocery
825,598,57,Established,Grocery
1109,606,2320,Established,Grocery
703,627,714,Established,Grocery
1109,648,2320,Established,Grocery
1109,661,2320,Established,Grocery
1109,665,2320,Established,Grocery
674,701,681,Established,Grocery
43,703,56,Local,Grocery
42,703,56,Local,Grocery
783,725,946,Established,Grocery
953,764,1212,Established,Grocery
618,779,522,Established,Grocery
1079,786,2024,Established,Grocery
456,805,158,Established,Pharmaceutical
457,805,158,Established,Pharmaceutical
567,830,386,Established,Grocery
444,832,133,Established,Grocery
442,832,133,Established,Grocery
445,832,133,Established,Grocery
562,835,360,Established,Grocery
347,839,56,Local,Grocery
347,840,56,Local,Grocery
456,845,158,Established,Pharmaceutical
457,845,158,Established,Pharmaceutical
562,867,360,Established,Grocery
468,878,172,Established,Grocery
468,888,172,Established,Grocery
468,892,172,Established,Grocery
43,893,120,Established,Grocery
42,893,120,Established,Grocery
452,895,147,Established,Grocery
562,897,360,Established,Grocery
415,907,89,Established,Grocery
415,915,89,Established,Grocery
431,924,115,Established,Pharmaceutical
799,925,971,Established,Grocery
417,933,89,Established,Grocery
415,933,89,Established,Grocery
416,933,89,Established,Grocery
527,934,278,Established,Grocery
415,940,89,Established,Grocery
417,942,89,Established,Grocery
415,942,89,Established,Grocery
416,942,89,Established,Grocery
810,945,982,Established,Seafood
809,945,982,Established,Seafood
468,948,172,Established,Grocery
599,949,487,Established,Grocery
596,949,487,Established,Grocery
431,951,115,Established,Pharmaceutical
618,952,522,Established,Grocery
431,954,115,Established,Pharmaceutical
514,955,248,Established,Grocery
452,958,147,Established,Grocery
494,959,209,Established,Grocery
494,960,209,Established,Grocery
895,965,1101,Established,Grocery
522,966,278,Established,Grocery
520,966,278,Established,Grocery
518,966,278,Established,Grocery
524,966,278,Established,Grocery
529,966,278,Established,Grocery
42,971,334,Established,Grocery
43,971,334,Established,Grocery
522,979,278,Established,Grocery
518,979,278,Established,Grocery
520,979,278,Established,Grocery
529,979,278,Established,Grocery
524,979,278,Established,Grocery
562,980,360,Established,Grocery
42,988,334,Established,Grocery
43,988,334,Established,Grocery
431,991,115,Established,Pharmaceutical
431,993,115,Established,Pharmaceutical
522,995,278,Established,Grocery
